,Title,Review,Rating
0,Best Phone,its best android phone .,5
1,Flagship killer,"Excellent, real flagship killer",5
2,Alert Slider not working Properly,"Alert Slider at the first Day is not working properly.. it works for ""vibrate nd ring"" only.. unable to out on ""silent"" by alert Slider.. called customer service nd they Do not have Refund policy.. BE CAREFUL",3
3,Worth every penny!!,This device gives you all you can ask from a phone... there's no scope for unfulfillment of your demands or what you expected out of this gadget....based the on the specs and built it is the BEST PHONE in this price range period.,5
4,Camera not good,Cam clarity is very bad,2
5,Overall awesome product,Finger print sensor can be good,5
6,I hope I didn't received a refubrish phone,Didn't receive the bill with the product and the removing pin for sim was also absent.speaker is not working properly.,1
7,Almost perfect,The fingerprint reader is a joke,5
8,Camera not good as i was expecting clicking blurry photos,Phone is good but i was expecting very good quality of photos but after purchased i have some issues regarding camera most of the photos are blurry even in day light photos not satisfaction about the 6t camera as i am expecting  not getting that thing from this mobile cameraPlease fix this issue,4
9,IPhone to Android user,Best in the market! I neva thought Android was so fun as a iPhone user. Now I will neva go back to ios,5
10,Phone performance,Phone processing very slow......and  performance also.....,2
11,Deal worth every penny,It's a beast. Worth the buy for the discounted price.,5
12,Fingers print not work properly,Fingers print not proper work,3
13,Extremely disappointing camera,Extremely poor camera quality. Total waste of money!! The worst part - no option of return is available. Will never suggest OnePlus to anyone!!,1
14,On Time Delivery,"Well, the package received was in good condition. Only problem was that the delivery person was so much in hurry and was not ready for 5 minutes. Though I received sms regarding the delivery on 5th May, time was not sure. I just got a call 5 minutes before its delivery from the delivery person. I was about to go out. I expect call to be received atleast  half an hour before its expected delivery. Rest was fine.",4
15,Usless phone,Not working in 6 months,1
16,A good pone with great features,"Just purchased OP 6T with 8gb ram and 128 gb rom with stunning camera features. Even though it has 3700 mAh battery,  it lasts almost 1 1/days.  Its a value for money. The seller service is also excellent and has given flash service.  Thanks to Amazon.",5
17,Magnificent,Just the product itself. 🥰🥰,5
18,Good pruduct,On screen finger print is little bit slow,5
19,good to use,"nice product and i using still now, very good one, battery, sound picture and camera quality are very nice.",5
20,Nice,Nice,5
21,Good best,Nice,5
22,"Best in class in price , userecperience and specs","What a amazing phone in this price range . Its probably best phone to buy this time. You are getting top specs in processor, camera , Ram, memory.",5
23,Checks all the right notes,"I like phones with smaller form factor, easy to keep in pocket. But today's phone market is about large phones, so took the plunge. Oneplus 6t is one helluva phone. Would recommend to everyone.",5
24,Awesome Buy,"Got this recently with hopping discount of almost 11k, adding 6.5k with my current Redmi Note5 Pro, got this beast in 25k effectively. About features, everything is top class.Performance , features, Camera, Battery, look etc",5
25,Good product,Good deal,5
26,Not good in camera,Poor in sensors,3
27,Good Features,Value for money,5
28,One plus 6T,"Excellent features and good working performance, Camera also superb",5
29,Hang problem,Some times hang during instagram or Facebook messenger use...even if storage ki 25% occupied only....and while using netflix....green screen or disturbed picture screen appears sometimes....,4
30,Amazingly Fast..!!,Loved it.,5
31,Overall ok,I am facing the issue that when u press the power button the phone is suppose to lock but it is not so....you can unlock it by swiping up......though it is suppose to unlock using face I'd or fingerprint or password.....,4
32,Battery drainage.,Battery is draining fast.,5
33,Brilliant phone.,The fingerprint sensor doesnot work half of the time but the prompt face unlock does the job everytime even in low light conditions. Overall the phone is superb.I was a bit apprehensive on buying it since the last model but i am glad that i made this choice.Kudos to amazon for delivering the product within 24 hrs.I just fell in love with this peice of technology.,5
34,Great product,This phone have a great battery life. One of the best and smooth phones.,5
35,Over charged and poor performance,Also as I have seen that I have paid 37999 rs. For 6 GB Ram and 128GB ROM handset purchased on 23-01-19 and now you offer 8 GB Ram and 128GB ROM handset only 32999 rs.It's such a cheated things... As I have been over charged,1
36,Hdcf bank applying 18% taxes along with emi,Hdfc bank is applying taxes @18% rate and the emi was no cost but still hdfc bank asking for 18%taxes .....please Amazon intervention in this case and remove all the emi taxes as it was deal with  6month no cost emi,2
37,Ultra Fast device,"Super awesome device with lots of customizations and smooth UI, game play, etc. Thanks to oneplus for such an amazing experience. Just hoping improvements on fingerprint scanner via software upgrades as it often fails to recognize the finger print.",5
38,Great phone but the charger not working effeciently work well.,Been using OnePlus n it's dash charger for years now. The charger I received with my new OnePlus 6t is not working effeciently work as the OnePlus 6 charger I have. Hope the issue is just with the charger not the phone.PS Great phone though. Happy with it.Was hoping to just replace the charger.,2
39,Good phone,Nice one,5
40,Best,Best,5
41,Oneplus 6T,"As usual, it's mind blowing 😎",5
42,Awesome phone,Awesome phone..... At an awesome price of 31500....really a good phone to buy.,5
43,good,Good phone. I am already using 1+ phone,4
44,Ok,Nice product,4
45,Face unlock super,Good product,5
46,Over all good but in the box I didn't get the sim ejector,Sim ejector not came in the box,4
47,Good phone,Pros:Blazing fastGood face unlockGreat user experienceCons :Fingerprint scanner ( it's very irritating )Also I didn't like the price the brand is increasing with every phone,4
48,OnePlus 6T,An awesome product from one plus again...,4
49,Flagship killers,Awesome,4
50,Quality,The camera quality is not good,1
51,Superb phone in the price range 30000 to 35000.,"Superb phone with superb features,but fingerprint reader is takeling little seconds than others for unlock the mobile,otherwise it's an owsem product by one plus,I also want to thank Amazon for appreciable services like 1 day dilevery and offer etc...",5
52,Price dropped after I purchased one plus 6T,Price dropped for about Rs. 5000 within weeks of my purchase. My heart broke on seeing it. Is there anyway to compensate my loss .,4
